Chr	Tajima
Transcript_180	-0.433414
Transcript_181	-0.290728
Transcript_182	-0.657938
Transcript_183	-0.461842
Transcript_184	-0.887622
Transcript_185	-0.808902
Transcript_186	-1.355946
Transcript_187	-0.058463
Transcript_188	-1.002658
Transcript_189	-1.983465
Transcript_190	-1.487246
Transcript_191	-0.613548
Transcript_192	-1.301558
Transcript_193	-0.037950
Transcript_194	-1.022458
Transcript_195	-0.453362
Transcript_197	0.950215
Transcript_198	-0.861892
Transcript_199	-0.506403
Transcript_200	-0.765713
Transcript_201	-0.584242
Transcript_202	-0.745394
Transcript_203	-1.382266
Transcript_204	-1.301011
Transcript_205	-1.545395
Transcript_206	-0.705789
Transcript_207	-0.637566
Transcript_208	-0.805478
Transcript_209	-0.243187
Transcript_210	-1.307196
Transcript_211	0.284946
Transcript_212	-0.767967
Transcript_213	-0.430419
Transcript_214	-1.101386
Transcript_215	-1.494543
Transcript_216	-0.548906
Transcript_217	-0.560796
Transcript_218	-0.235167
Transcript_219	-0.023603
Transcript_220	-0.341328
Transcript_221	-0.291632
Transcript_222	-0.221062
Transcript_223	-0.869038
Transcript_224	-0.578953
Transcript_225	0.017423
Transcript_226	-0.425982
Transcript_227	-0.703011
Transcript_228	-0.602226
Transcript_229	-0.407683
Transcript_230	0.426387
Transcript_231	-0.715047
Transcript_232	-0.705415
Transcript_233	0.133965
Transcript_234	-0.738807
Transcript_235	-1.071374
Transcript_236	-0.751293
Transcript_237	-0.581829
Transcript_238	-0.985279
Transcript_239	-0.357030
Transcript_240	-0.476397
Transcript_241	0.178290
Transcript_242	-0.083861
Transcript_243	-0.343236
Transcript_244	-0.830088
Transcript_245	-0.378953
Transcript_246	-0.804051
Transcript_248	0.399962
Transcript_249	-0.250767
Transcript_250	-0.311853
Transcript_251	0.751371
Transcript_252	-0.777012
Transcript_253	-0.772191
Transcript_254	-1.137703
Transcript_255	-1.316527
Transcript_256	-1.442474
Transcript_257	-0.393817
Transcript_258	-0.388508
Transcript_259	-0.996521
Transcript_260	-0.007178
Transcript_261	-0.528040
Transcript_262	-0.521275
Transcript_263	-1.170274
Transcript_264	-0.786157
Transcript_265	-0.516938
Transcript_266	-0.897125
Transcript_268	-1.069607
Transcript_269	-0.267529
Transcript_270	-1.401116
Transcript_271	-0.945856
Transcript_272	-0.534620
Transcript_273	-0.936201
Transcript_274	-0.681522
Transcript_275	-1.090953
Transcript_276	-1.773505
Transcript_277	-1.586741
Transcript_278	-1.018701
Transcript_279	-0.402648
Transcript_280	-1.640413
Transcript_281	0.630005
Transcript_282	-0.729599
Transcript_283	-0.681846
Transcript_284	-0.319110
Transcript_285	-0.982620
Transcript_286	-0.329420
Transcript_287	-1.157917
Transcript_288	-1.422460
Transcript_289	-0.121394
Transcript_290	-0.670616
Transcript_291	0.157758
Transcript_292	-1.149204
Transcript_293	-1.732671
Transcript_294	-0.587370
Transcript_295	-0.049161
Transcript_296	0.142837
Transcript_297	-0.257305
Transcript_298	-0.455556
Transcript_299	-0.542815
Transcript_300	-1.012489
Transcript_301	-0.480404
Transcript_302	0.043001
Transcript_303	-1.933187
Transcript_304	-0.370805
Transcript_305	-0.474994
Transcript_306	-1.049447
Transcript_307	-1.459656
Transcript_308	-0.250922
Transcript_309	-0.602229
Transcript_310	-0.935363
Transcript_311	-0.535259
Transcript_312	-0.698340
Transcript_313	-0.651402
Transcript_314	0.119535
Transcript_315	0.052425
Transcript_316	-0.291110
Transcript_317	-1.520247
Transcript_318	-0.855902
Transcript_319	-0.603600
Transcript_320	-0.262476
Transcript_321	-1.015165
Transcript_322	-0.657566
Transcript_323	-0.251366
Transcript_324	-0.248811
Transcript_325	-0.758841
Transcript_326	0.259168
Transcript_327	-1.524302
Transcript_328	-0.616141
Transcript_329	-0.804253
Transcript_330	-0.870688
Transcript_331	0.342087
Transcript_332	-1.849791
Transcript_333	-0.042416
Transcript_334	-0.695461
Transcript_335	-0.696380
Transcript_336	-1.026767
Transcript_337	0.002766
Transcript_338	-0.599309
Transcript_339	-0.305980
Transcript_341	-0.479250
Transcript_342	-0.779157
Transcript_343	-0.372625
Transcript_344	-1.456415
Transcript_345	0.517777
Transcript_346	-0.768661
Transcript_347	0.016559
Transcript_348	-2.030107
Transcript_349	-1.194521
Transcript_351	-0.385147
Transcript_352	-0.549228
Transcript_353	-1.212184
Transcript_354	-0.892096
Transcript_355	-0.477548
Transcript_356	-0.735183
Transcript_357	-0.958724
Transcript_358	-0.903678
Transcript_359	-1.931605
Transcript_360	-0.670809
Transcript_361	-0.398734
Transcript_362	0.172231
Transcript_363	-0.096701
Transcript_364	-1.013792
Transcript_365	-0.773954
Transcript_366	-0.427037
Transcript_367	-0.469163
Transcript_368	-1.605585
Transcript_369	-1.043429
Transcript_370	-0.994159
Transcript_371	-0.522049
Transcript_372	-1.370795
Transcript_373	0.046291
Transcript_374	-0.709801
Transcript_375	-0.865905
Transcript_376	-0.608720
Transcript_377	-0.262639
Transcript_378	-0.016321
Transcript_379	-0.897230
Transcript_380	-0.170163
Transcript_381	0.550562
Transcript_382	-1.900418
Transcript_384	-1.031720
Transcript_385	-0.204579
Transcript_386	0.716781
Transcript_387	0.238229
Transcript_388	-1.080125
Transcript_389	-0.309498
Transcript_390	-0.618550
Transcript_391	-0.458928
Transcript_392	-0.723660
Transcript_393	-0.532825
Transcript_394	-0.443563
Transcript_395	-0.609775
Transcript_396	-0.402088
Transcript_397	-0.468399
Transcript_398	-0.374154
Transcript_399	-1.151478
Transcript_400	-1.174479
Transcript_401	-1.165596
Transcript_402	-0.529214
Transcript_403	-0.710437
Transcript_404	-1.463352
Transcript_405	-1.511160
Transcript_406	-1.641564
Transcript_407	-0.303349
Transcript_408	-0.652816
Transcript_409	-0.987407
Transcript_410	-0.821164
Transcript_411	-2.252341
Transcript_412	-0.696567
Transcript_413	-0.681143
Transcript_414	-0.433169
Transcript_415	-0.758938
Transcript_416	-0.944012
Transcript_417	-1.495230
Transcript_418	0.169809
Transcript_419	-0.327520
Transcript_420	-1.403442
Transcript_421	-1.239784
Transcript_422	-0.387418
Transcript_423	0.362208
Transcript_424	-1.862756
Transcript_425	-0.577317
Transcript_426	-1.699183
Transcript_427	-0.536649
Transcript_428	-1.059691
Transcript_429	-0.578474
Transcript_430	-0.469346
Transcript_431	-0.848002
Transcript_432	1.003671
Transcript_433	-1.406852
Transcript_434	-0.652588
Transcript_435	-0.465053
Transcript_436	-0.422718
Transcript_438	-0.337158
Transcript_439	-0.142291
Transcript_440	-0.850742
Transcript_441	0.101539
Transcript_442	-1.128826
Transcript_443	-0.760385
Transcript_444	-0.442411
Transcript_445	-0.531900
Transcript_446	-1.279306
Transcript_447	-0.660061
Transcript_448	0.510982
Transcript_449	-1.715094
Transcript_450	-0.998518
Transcript_451	-1.922203
Transcript_452	-0.504090
Transcript_453	-0.465162
Transcript_454	-0.087397
Transcript_455	-0.574999
Transcript_456	-1.778568
Transcript_457	-0.953186
Transcript_458	-0.516611
Transcript_459	-0.533168
Transcript_460	-0.405114
Transcript_461	-0.557080
Transcript_462	-0.750753
Transcript_463	-0.324551
Transcript_464	-0.713797
Transcript_465	-0.845322
Transcript_466	-0.476240
Transcript_467	0.081285
Transcript_468	0.406732
Transcript_469	-0.740443
Transcript_470	-0.738961
Transcript_471	-0.287694
Transcript_472	-0.351312
Transcript_474	-1.580780
Transcript_475	-1.603559
Transcript_476	-0.994680
Transcript_477	-0.795866
Transcript_478	-0.551155
Transcript_479	-0.894949
Transcript_480	-0.450328
Transcript_481	-0.598100
Transcript_482	-0.597752
Transcript_484	-0.514191
Transcript_485	-0.739838
Transcript_486	-0.272583
Transcript_487	-1.063783
Transcript_488	-1.438812
Transcript_489	-0.477630
Transcript_490	-0.785247
Transcript_491	-1.024490
Transcript_492	-0.015179
Transcript_493	-1.106972
Transcript_494	-1.551323
Transcript_495	0.350810
Transcript_496	-0.305437
Transcript_497	-0.963237
Transcript_498	-0.138480
Transcript_499	-1.263125
Transcript_500	-0.789182
Transcript_501	-0.215478
Transcript_502	-1.037456
Transcript_503	0.753828
Transcript_504	-1.332959
Transcript_505	-1.343321
Transcript_506	-0.776416
Transcript_507	0.336699
Transcript_508	-0.773827
Transcript_509	-1.070653
Transcript_510	0.014001
Transcript_511	-0.480312
Transcript_512	-0.572261
Transcript_513	-0.334058
Transcript_514	-0.838068
Transcript_515	-0.767572
Transcript_516	0.105022
Transcript_517	-0.839628
Transcript_518	-0.676487
Transcript_519	-0.677415
Transcript_520	-0.613662
Transcript_521	-1.024934
Transcript_522	0.738298
Transcript_523	-0.173012
Transcript_524	-0.507480
Transcript_525	-1.422117
Transcript_526	0.074291
Transcript_527	-0.782926
Transcript_528	0.530785
Transcript_529	-0.066569
Transcript_530	-0.599215
Transcript_531	-0.573857
Transcript_532	-0.394739
Transcript_533	-0.509289
Transcript_534	-0.781851
Transcript_535	-0.678911
Transcript_536	-0.040725
Transcript_537	-0.405039
Transcript_538	-0.405110
Transcript_539	-0.521973
Transcript_540	0.396275
Transcript_541	0.246746
Transcript_542	-0.192316
Transcript_543	-0.495613
Transcript_544	-0.229241
Transcript_545	-1.034433
Transcript_546	-1.971762
Transcript_547	-0.254939
Transcript_548	-0.889533
Transcript_549	-1.175597
Transcript_550	-0.669396
Transcript_551	-0.301808
Transcript_552	0.744459
Transcript_553	0.455552
Transcript_554	-0.880619
Transcript_555	-0.222862
Transcript_556	-0.103656
Transcript_557	-0.497417
Transcript_558	-0.533314
Transcript_559	-0.424596
Transcript_560	-0.967268
Transcript_561	-1.353040
Transcript_562	-1.532010
Transcript_563	-0.242949
Transcript_564	0.154931
Transcript_565	-0.673603
Transcript_566	-0.362852
Transcript_567	-0.302524
Transcript_568	-0.434969
Transcript_569	-0.609376
Transcript_570	-0.304344
Transcript_571	-0.590841
Transcript_572	-0.525825
Transcript_573	-0.562285
Transcript_574	-0.942785
Transcript_575	-0.228649
Transcript_576	-0.314884
Transcript_577	0.218043
Transcript_578	-1.308837
Transcript_579	-0.441267
Transcript_580	-0.899740
Transcript_581	-1.165887
Transcript_582	-0.492478
Transcript_583	-0.174955
Transcript_584	-0.502250
Transcript_585	-0.229472
Transcript_586	-0.375260
Transcript_587	0.077381
Transcript_588	-0.840951
Transcript_589	-0.447718
Transcript_590	-0.055758
Transcript_591	-0.669272
Transcript_592	-0.975072
Transcript_593	0.474156
Transcript_594	-1.432728
Transcript_595	-0.654715
Transcript_596	-0.421004
Transcript_597	-0.841511
Transcript_598	-1.139959
Transcript_599	-1.103185
Transcript_600	-0.912487
Transcript_601	-0.835233
Transcript_602	-1.127216
Transcript_603	-0.612064
Transcript_604	-0.908182
Transcript_605	-0.371563
Transcript_606	0.200581
Transcript_607	0.041739
Transcript_608	-0.251594
Transcript_609	-0.186007
Transcript_610	-1.212505
Transcript_611	-0.121535
Transcript_612	0.334557
Transcript_613	0.464099
Transcript_614	-1.495862
Transcript_615	-0.609354
Transcript_616	-0.573892
Transcript_617	-0.933085
Transcript_618	-0.503784
Transcript_619	0.032656
Transcript_621	-0.742616
Transcript_622	-0.375562
Transcript_623	-1.524097
Transcript_624	-1.109647
Transcript_625	-0.446041
Transcript_626	-0.370619
Transcript_627	-0.097221
Transcript_628	-0.618067
Transcript_629	-0.460588
Transcript_630	-0.511547
Transcript_631	-1.259961
Transcript_632	-0.798407
Transcript_633	-0.814568
Transcript_634	-0.422567
Transcript_635	-0.020830
Transcript_636	0.306254
Transcript_637	-1.103166
Transcript_638	-0.421502
Transcript_639	-0.064985
Transcript_640	-0.688050
Transcript_641	-1.182024
Transcript_642	-0.561756
Transcript_643	-0.211108
Transcript_644	-0.487854
Transcript_645	-0.156814
Transcript_646	-0.229240
Transcript_647	-0.202969
Transcript_648	-1.089946
Transcript_649	-0.473560
Transcript_650	-0.541050
Transcript_651	-0.832480
Transcript_652	-0.612414
Transcript_653	-0.749456
Transcript_654	-0.264375
Transcript_655	-0.885056
Transcript_656	-0.844937
Transcript_657	-0.738977
Transcript_658	-1.207913
Transcript_659	-0.577433
Transcript_660	0.890721
Transcript_662	-0.672899
Transcript_663	-0.640743
Transcript_664	-0.244459
Transcript_665	-1.779328
Transcript_666	-0.632974
Transcript_667	-1.843963
Transcript_668	-0.601481
Transcript_669	-0.461000
Transcript_670	-0.708885
Transcript_671	-1.722763
Transcript_672	0.149213
Transcript_673	-0.393027
Transcript_674	-1.514091
Transcript_675	-0.543221
Transcript_676	-0.429651
Transcript_677	-0.586483
Transcript_678	-0.444990
Transcript_679	-0.683402
Transcript_680	-0.701186
Transcript_681	-0.662790
Transcript_682	-0.975555
Transcript_683	-0.429948
Transcript_684	-0.443609
Transcript_685	-0.795241
Transcript_686	-0.373298
Transcript_687	-1.258647
Transcript_688	-1.749465
Transcript_689	-0.841578
Transcript_690	-0.512383
Transcript_691	-0.164549
Transcript_692	0.038045
Transcript_693	-0.597102
Transcript_695	-0.687685
Transcript_696	-0.334892
Transcript_697	-0.923638
Transcript_698	-0.530397
Transcript_700	-0.235154
Transcript_701	-1.496779
Transcript_702	-0.489445
Transcript_703	-0.438970
Transcript_704	-0.552943
Transcript_705	-0.909980
Transcript_706	-1.213730
Transcript_707	-0.469294
Transcript_708	-0.686276
Transcript_709	-0.537279
Transcript_710	-0.342334
Transcript_711	-0.740803
Transcript_712	-1.314463
Transcript_713	-1.052908
Transcript_714	-0.261357
Transcript_715	-0.417443
Transcript_716	-0.815573
Transcript_717	0.032824
Transcript_718	-0.991134
Transcript_719	-0.762423
Transcript_720	-0.710575
Transcript_721	-0.859322
Transcript_722	-1.126271
Transcript_724	-0.590895
Transcript_725	-0.854041
Transcript_727	-0.477190
Transcript_728	-0.356358
Transcript_729	-0.229348
Transcript_730	-0.380414
Transcript_731	0.745344
Transcript_732	-0.897504
Transcript_733	0.636137
Transcript_734	-0.918639
Transcript_735	-0.335655
Transcript_736	-0.971798
Transcript_737	-0.858336
Transcript_738	-1.383845
Transcript_739	-0.497777
Transcript_740	-0.406187
Transcript_741	0.493378
Transcript_742	0.072574
Transcript_743	0.491014
Transcript_744	-0.916740
Transcript_745	0.022072
Transcript_746	-0.955175
Transcript_748	-0.558999
Transcript_749	-1.024422
Transcript_751	-0.492744
Transcript_752	0.461388
Transcript_753	-0.683333
Transcript_754	-0.890880
Transcript_755	-0.580222
Transcript_756	-1.615526
Transcript_757	-1.361275
Transcript_758	-0.420999
Transcript_759	-0.995703
Transcript_760	-0.731019
Transcript_761	0.315561
Transcript_762	-0.600183
Transcript_764	-0.483314
Transcript_765	-0.792498
Transcript_766	-0.635243
Transcript_767	-0.235600
Transcript_768	0.250890
Transcript_769	-0.131515
Transcript_770	-0.592632
Transcript_771	-0.698569
Transcript_772	0.384354
Transcript_773	-0.781199
Transcript_774	-0.183142
Transcript_775	0.140934
Transcript_776	-0.784485
Transcript_777	-0.093012
Transcript_778	-1.301509
Transcript_779	-0.478268
Transcript_780	-0.419665
Transcript_781	-0.965650
Transcript_782	-1.312386
Transcript_783	-0.471635
Transcript_784	-0.983681
Transcript_785	1.657294
Transcript_786	-0.337046
Transcript_787	0.302841
Transcript_788	-0.209379
Transcript_789	0.377715
Transcript_790	-0.630231
Transcript_791	-0.087067
Transcript_792	1.689579
Transcript_793	-1.028998
Transcript_794	-0.302107
Transcript_795	-1.625570
Transcript_796	-0.511772
Transcript_797	-0.630339
Transcript_798	0.160802
Transcript_799	-0.185204
Transcript_800	-0.528568
Transcript_801	-0.229240
Transcript_802	-0.517192
Transcript_803	-0.803759
Transcript_805	-0.183439
Transcript_806	-0.804967
Transcript_807	-0.628824
Transcript_810	-0.250058
Transcript_811	-0.524094
Transcript_812	-0.710162
Transcript_813	-0.336999
Transcript_814	-0.576782
Transcript_815	-0.558249
Transcript_816	-0.635406
Transcript_817	-0.992169
Transcript_818	-1.558333
Transcript_819	0.566216
Transcript_820	-1.423976
Transcript_821	-0.143678
Transcript_822	-0.515967
Transcript_823	-0.843309
Transcript_824	-0.520861
Transcript_825	-0.558754
Transcript_826	-0.380896
Transcript_827	-0.311342
Transcript_828	0.459897
Transcript_829	-0.549394
Transcript_830	-1.129543
Transcript_831	-0.513831
Transcript_832	-0.240171
Transcript_834	-0.523546
Transcript_835	-0.558656
Transcript_836	-1.148677
Transcript_837	-1.197939
Transcript_838	-0.546604
Transcript_839	-0.380896
Transcript_840	-1.146942
Transcript_841	-0.805660
Transcript_842	-0.254934
Transcript_843	-0.703214
Transcript_844	-0.174554
Transcript_846	-0.482564
Transcript_847	-0.694591
Transcript_848	-0.958576
Transcript_849	-0.477380
Transcript_850	-0.205388
Transcript_851	0.928862
Transcript_852	-0.752471
Transcript_853	-0.956043
Transcript_854	-0.145844
Transcript_855	-0.283908
Transcript_856	-0.413191
Transcript_857	0.142347
Transcript_858	-0.325132
Transcript_859	-0.662657
Transcript_860	-0.528599
Transcript_861	0.774459
Transcript_862	-0.820878
Transcript_864	-0.482043
Transcript_865	-0.385239
Transcript_866	-0.602909
Transcript_867	-0.240889
Transcript_868	0.030719
Transcript_869	-0.351511
Transcript_870	-0.970949
Transcript_871	0.022558
Transcript_872	-0.385106
Transcript_873	-0.113338
Transcript_874	-1.545267
Transcript_875	-1.148256
Transcript_876	-0.157425
Transcript_877	0.308194
Transcript_878	-0.266396
Transcript_879	0.234892
Transcript_880	-0.521031
Transcript_881	-2.240771
Transcript_882	-0.261818
Transcript_883	-0.970831
Transcript_884	-0.185566
Transcript_885	-0.379714
Transcript_886	0.316275
Transcript_887	-0.388047
Transcript_888	0.398917
Transcript_889	0.017983
Transcript_890	-1.170717
Transcript_891	-1.352570
Transcript_892	-0.760504
Transcript_893	-0.508546
Transcript_894	-1.158108
Transcript_895	-0.778234
Transcript_896	-0.268197
Transcript_897	-0.366191
Transcript_898	-0.302804
Transcript_899	-0.081058
Transcript_900	-0.019797
Transcript_901	-1.426443
Transcript_902	-1.828127
Transcript_903	0.020722
Transcript_904	-0.789031
Transcript_905	-0.976848
Transcript_906	-0.705267
Transcript_907	-0.659118
Transcript_908	-0.132270
Transcript_909	-0.605652
Transcript_910	-1.761128
Transcript_911	0.393995
Transcript_912	-0.038445
Transcript_913	0.543627
Transcript_914	-0.283973
Transcript_915	-0.731328
Transcript_917	-1.603081
Transcript_918	-0.637039
Transcript_919	0.331723
Transcript_920	1.380116
Transcript_921	-1.271535
Transcript_922	-0.266817
Transcript_923	-0.751822
Transcript_924	-0.298119
Transcript_925	-1.463362
Transcript_926	-1.043273
Transcript_927	-0.703365
Transcript_928	-0.264527
Transcript_929	-1.198569
Transcript_930	-0.639605
Transcript_931	0.128276
Transcript_932	-1.641479
Transcript_933	-0.727944
Transcript_934	-0.723099
Transcript_935	-0.037171
Transcript_936	-0.573840
Transcript_937	-1.134703
Transcript_938	0.424230
Transcript_939	-1.605435
Transcript_940	-1.983013
Transcript_941	-0.937068
Transcript_942	-0.327415
Transcript_943	-1.435232
Transcript_944	-1.744437
Transcript_945	-0.543464
Transcript_946	-0.900794
Transcript_947	-0.402701
Transcript_948	-0.421103
Transcript_949	-0.638062
Transcript_950	-0.523227
Transcript_951	-0.329040
Transcript_952	-0.380896
Transcript_953	0.127978
Transcript_954	-0.737959
Transcript_955	-0.806506
Transcript_956	-0.522616
Transcript_957	-0.979495
Transcript_958	-0.453123
Transcript_959	0.042581
Transcript_960	-0.637226
Transcript_961	-0.566778
Transcript_962	-1.491213
Transcript_963	-0.577793
Transcript_964	-0.257691
Transcript_965	-1.280062
Transcript_966	0.144554
Transcript_967	-0.980746
Transcript_968	0.251448
Transcript_969	0.090571
Transcript_970	-1.014682
Transcript_971	-0.610581
Transcript_972	-0.644502
Transcript_973	0.538157
Transcript_974	-0.119892
Transcript_975	0.107157
Transcript_976	-0.674430
Transcript_977	-0.064983
Transcript_978	-1.312703
Transcript_979	-0.081354
Transcript_980	-2.035204
Transcript_981	-0.460554
Transcript_982	-0.820874
Transcript_983	-0.005714
Transcript_984	-0.697987
Transcript_985	-0.563058
Transcript_986	0.011465
Transcript_987	-1.064506
Transcript_988	-1.188754
Transcript_989	-0.386483
Transcript_990	-2.226425
Transcript_991	0.896333
Transcript_992	-0.638907
Transcript_993	-0.233723
Transcript_994	-0.768849
Transcript_995	-0.635866
Transcript_996	-0.531095
Transcript_997	-0.049496
Transcript_998	-0.611873
Transcript_999	-0.231421
Transcript_1000	-0.459087
Transcript_1001	0.014813
Transcript_1002	0.774751
Transcript_1003	-0.632813
Transcript_1004	-1.028217
Transcript_1005	-0.406813
Transcript_1006	-0.714851
Transcript_1007	-0.633609
Transcript_1008	0.192033
Transcript_1009	-0.427187
Transcript_1010	-1.312575
Transcript_1011	-0.962983
Transcript_1012	-0.613137
Transcript_1013	-0.594490
Transcript_1014	-0.758554
Transcript_1015	-0.692007
Transcript_1016	-0.737130
Transcript_1017	-1.037940
Transcript_1018	-0.658794
Transcript_1019	-0.901154
Transcript_1020	-1.033584
Transcript_1021	-1.316554
Transcript_1022	-0.317324
Transcript_1023	-1.573910
Transcript_1024	-0.379543
Transcript_1025	-0.224683
Transcript_1026	-0.549972
Transcript_1027	-1.009713
Transcript_1028	0.438256
Transcript_1029	-1.225686
Transcript_1030	-0.786059
Transcript_1031	-0.840341
Transcript_1032	-0.130209
Transcript_1033	-1.753202
Transcript_1034	0.104970
Transcript_1035	-0.516199
Transcript_1036	-0.157804
Transcript_1037	-0.795311
Transcript_1038	-0.395243
Transcript_1039	-0.809783
Transcript_1040	-0.275312
Transcript_1041	-0.151494
Transcript_1042	0.128621
Transcript_1043	-0.679748
Transcript_1044	-1.347505
Transcript_1045	-1.283205
Transcript_1046	-0.254288
Transcript_1047	-1.270666
Transcript_1048	-0.389707
Transcript_1049	-0.398344
Transcript_1050	0.079667
Transcript_1051	0.343945
Transcript_1052	-1.188192
Transcript_1053	-0.475617
Transcript_1054	-1.127925
Transcript_1055	-0.103444
Transcript_1056	-0.734446
Transcript_1057	0.590839
Transcript_1058	-0.553943
Transcript_1059	0.428349
Transcript_1060	-1.268411
Transcript_1061	-0.765311
Transcript_1062	-0.784689
Transcript_1063	0.246869
Transcript_1064	-0.764959
Transcript_1065	-0.549441
Transcript_1066	-0.524324
Transcript_1067	0.601208
Transcript_1068	-0.012928
Transcript_1069	-0.988489
Transcript_1070	0.584340
Transcript_1071	-0.921858
Transcript_1072	0.351254
Transcript_1073	-0.700101
Transcript_1074	-0.694672
Transcript_1075	-0.448769
Transcript_1076	-0.344212
Transcript_1077	-0.962208
Transcript_1078	-0.183142
Transcript_1079	-0.549605
Transcript_1080	-0.474786
Transcript_1081	-0.308484
Transcript_1082	-1.130478
Transcript_1083	-0.559734
Transcript_1084	-0.306096
Transcript_1085	0.406772
Transcript_1086	-0.648543
Transcript_1087	-0.934937
Transcript_1088	0.213993
Transcript_1089	-0.665384
Transcript_1090	-0.325481
Transcript_1091	-1.340949
Transcript_1092	-0.514564
Transcript_1093	-0.681573
Transcript_1094	-1.635344
Transcript_1095	1.028700
Transcript_1096	-0.279104
Transcript_1097	-1.764045
Transcript_1098	-0.499671
Transcript_1099	-1.941860
Transcript_1100	-0.335670
Transcript_1101	-1.552697
Transcript_1102	-1.044786
Transcript_1103	-0.702595
Transcript_1104	-0.715489
Transcript_1105	-1.023780
Transcript_1106	-0.560098
Transcript_1107	-1.335117
Transcript_1108	-1.023975
Transcript_1109	-1.402802
Transcript_1110	-0.256113
Transcript_1111	-0.125732
Transcript_1112	-0.277875
